key_mlbam,key_bbref,name_last,name_first
123845,walkecu01,Walker,Curt
110158,allenbo02,Allen,Bob
122622,sprinjo01,Sprinz,Joe
817011,tayloro02,Taylor,Ross
668670,rogerja03,Rogers,Jake
119351,morehda01,Morehead,Dave
543278,hardybl01,Hardy,Blaine
642100,speiega01,Speier,Gabe
429984,proctsc01,Proctor,Scott
407783,gearyge01,Geary,Geoff
608339,greenza01,Green,Zach
123503,turanbr01,Turang,Brian
118782,mckinri01,McKinney,Rich
818971,hooddo02,Hood,Dozier
820413,bradl03,Bradley,Red
114429,friasha01,Frias,Hanley
118500,mcadaja01,McAdams,Jack
115887,hickebr01,Hickerson,Bryan
110891,bereja01,Bere,Jason
112707,corwial01,Corwin,Al
121124,rhoderi01,Rhoden,Rick
818041,morriye01,Morris,Yellow Horse
122093,sheast01,Shea,Steve
119232,molefe01,Mole,Fenton
117440,lampake01,Lampard,Keith
150467,andrecl01,Andrews,Clayton
119748,newnapa01,Newnam,Pat
816586,williel01,Williams,Elbert
819959,cozarha01,Cozart,Harry
120385,pennike01,Pennington,Kewpie
818224,mckelfr01,McKelvin,Fred
592288,emanuke01,Emanuel,Kent
114349,fowlear01,Fowler,Art
122801,stineha01,Stein,William
110570,barklsa01,Barkley,Sam
621559,morofma01,Moroff,Max
820763,adams05,Adams,
123878,walshed01,Walsh,Ed
687551,gilbedr01,Gilbert,Drew
608348,kellyca02,Kelly,Carson
120379,penceru01,Pence,Russell
111680,bullage01,Bullard,George
476134,omogrbr01,Omogrosso,Brian
650668,mejiahu01,Mejía,Humberto
690953,abelmi01,Abel,Mick
663647,hayeske01,Hayes,Ke'Bryan
110827,bellje01,Bell,Jerry
117135,klagefr01,Klages,Fred
122456,smithru01,Smith,Rufus
119714,nelsoto01,Nelson,Tommy
453974,marsolo01,Marson,Lou
113355,dietzdi01,Dietz,Dick
111014,biscafr01,Biscan,Frank
119327,moorewi01,Moore,Wilcy
819902,currygo01,Curry,Homer
120604,pittach01,Pittaro,Chris
123165,tayloza01,Taylor,Z. H.
425475,loopeaa01,Looper,Aaron
118644,mcdonji02,MacDonald,Malcolm
114047,feinbed01,Feinberg,Eddie
816539,willito03,Williams,Tom
123022,swansre01,Swanson,Red
113297,destror01,Destrade,Orestes
119906,o'brisy01,O'Brien,Syd
435062,kendrho01,Kendrick,Howie
606930,barneja01,Barnes,Jacob
467761,hernafe03,Hernández,Fernando
122276,sirotmi01,Sirotka,Mike
122479,smoyehe01,Smoyer,Henry
132880,wardda01,Ward,Daryle
117413,lajesdi01,Lajeskie,Dick
645307,sanchri01,Sanchez,Ricardo
114456,frocksa01,Frock,Sam
689225,briesbe01,Brieske,Beau
114187,fitzgde01,Fitzgerald,Dennis
121432,rondogi01,Rondón,Gil
123295,thompfr03,Thompson,Fresco
113104,davisge02,Davis,George
521230,hendrli01,Hendriks,Liam
113832,elybo01,Ely,Bones
111145,boehrbr01,Boehringer,Brian
113743,edlerda01,Edler,Dave
543308,hicksjo02,Hicks,John
502034,burriem01,Burriss,Emmanuel
818607,kingch02,King,Charlie
112838,critcmo01,Critchley,Morrie
427452,schaebo99,Schaefer,Bob
686475,tolbety01,Tolbert,Tyler
689167,lindgje01,Lindgren,Jeff
818898,irvinca01,Irvin,Cal
117361,kuipedu01,Kuiper,Duane
121307,robinde01,Robinson,Dewey
113548,draketo01,Drake,Tom
115055,graulle01,Graulich,Billy
